,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
10304,ccw,0.3659737,27.216929999999998,29.123690000000003,18.43404,1.821695
10305,ccw,1.481296,121.7681,112.8716,57.10135,5.948697
10306,ccw,0.3922724,28.888509999999997,22.99223,12.587710000000001,0.8303158000000002
10307,ccw,0.0816817,134.3108,119.9618,81.775,5.743999
10308,ccw,0.7662966,262.462,497.0711,406.8871,9.175635
10309,ccw,1.029462,491.8678,195.2617,109.5141,5.222589
10310,ccw,0.04696895,8.463527000000001,24.867539999999998,24.17142,0.1358839
10311,ccw,0.456191,92.43131,64.72483000000001,32.96043,3.116133
10312,ccw,0.25720879999999996,46.59283,180.5206,80.73009,3.077737
10313,ccw,1.9414630000000002,535.8351,1431.8670000000002,1044.14,22.1936
10314,ccw,0.1750837,107.8165,571.0347,146.9837,7.182195
10315,ccw,0.07210962,2.210671,5.999207,5.368745,0.07798109
10316,ccw,0.02793311,6.494701,33.13739,21.088720000000002,0.8793017
10317,ccw,1.079972,135.5517,369.2912,199.2362,8.775697000000001
10318,ccw,1.568561,143.7602,364.6311,221.3539,16.03142
10319,ccw,0.6367608,137.6911,531.1915,420.2202,6.319511
10320,ccw,3.0644669999999996,217.3198,541.8132,264.5016,13.227379999999998
10321,ccw,4.37737,567.2280000000001,628.0869,443.2317,7.060446000000001
10322,ccw,1.90363,215.4786,573.187,205.6754,8.771438
10323,ccw,0.20149,11.05547,34.50105,14.618039999999999,0.7154321
10324,ccw,0.01551489,10.86091,8.363662,5.234287,0.17283339999999997
10325,ccw,0.08715078,15.01014,12.13556,5.654306,0.2332768
10326,ccw,3.414557,651.9984,383.1658,150.4928,8.544779
10327,ccw,1.146698,323.3592,306.373,203.0076,9.015201
10328,ccw,0.33580279999999996,321.1036,447.199,210.3628,6.894214
10329,ccw,0.07789475,10.541080000000001,4.177728,1.9084439999999998,0.1830707
10330,ccw,0.2066502,328.6389,456.6234,385.7819,15.378079999999999
10331,ccw,0.2199893,30.804000000000002,27.82602,10.60383,0.29379390000000005
10332,ccw,0.5408486,549.3941,1344.733,363.7459,14.965570000000001
10333,ccw,50.52026,3248.1059999999998,2656.3959999999997,1318.06,80.31562
10334,ccw,1.11125,324.9555,537.9542,544.8738,41.07897
10335,ccw,0.08825219999999999,16.84423,20.03043,16.77838,1.451653
10336,ccw,0.2996798,68.84487,105.785,120.8427,1.257795
10337,ccw,2.385787,229.1285,213.9943,180.14700000000002,10.01694
10338,ccw,0.3744433,18.96978,17.17416,7.751,0.2238935
10339,ccw,0.05197115,8.267689,15.83658,7.253995,0.192606
10340,ccw,0.1233843,45.413540000000005,44.10065,15.01249,0.1927112
10341,ccw,10.47913,2743.555,6088.118,1402.589,75.37598
10342,ccw,0.08555164,52.74004,82.24842,76.19213,0.6507645000000001
10343,ccw,0.41674659999999997,25.41712,50.60148,40.44719,2.044725
10344,ccw,0.1086103,8.193513000000001,8.738823,4.421986,0.2258238
10345,ccw,1.339815,101.1778,148.8669,91.60033,5.199778
10346,ccw,0.08071546,55.26251,40.86312,21.09153,0.110142
10347,ccw,0.2598722,43.30851,26.98619,13.958770000000001,0.20201760000000002
10348,ccw,1.4799229999999999,334.4101,181.4956,64.47511,0.3810965
10349,ccw,0.04634498,29.247359999999997,35.1406,21.86637,-0.01675869
10350,ccw,0.1611889,72.49693,28.788790000000002,11.3261,0.2474685
10351,ccw,0.5216369000000001,85.9701,88.25021,72.57692,1.401381
10352,ccw,0.5626884,328.9163,228.7035,123.8202,2.780059
